metric_id,지표명,유형,month,value,status
order_progress_rate,수주 진행률,비율형,2026-05-27,0.6666412114924855,OK
order_progress_rate,수주 진행률,비율형,2026-06-03,0.6666412114924855,OK
order_progress_rate,수주 진행률,비율형,2026-06-08,0.6666412114924855,OK
order_progress_rate,수주 진행률,비율형,2026-06-15,0.6666412114924855,OK
order_progress_rate,수주 진행률,비율형,2026-06-22,0.6666412114924855,OK
order_progress_rate,수주 진행률,비율형,2026-06-29,0.6666412114924855,OK
order_progress_rate,수주 진행률,비율형,2026-07-06,0.6666412114924855,OK
order_progress_rate,수주 진행률,비율형,2026-07-20,0.6666412114924855,OK
order_progress_rate,수주 진행률,비율형,2026-07-27,0.6666412114924855,OK
order_progress_rate,수주 진행률,비율형,2026-08-03,0.6666412114924855,OK
order_progress_rate,수주 진행률,비율형,2026-08-10,0.6666412114924855,OK
order_progress_rate,수주 진행률,비율형,2026-08-18,,분모 0
overdue_order_dobun,납기 초과 도번 수,카운트형,2026-05-27,1.0,표본부족
overdue_order_dobun,납기 초과 도번 수,카운트형,2026-06-03,4.0,표본부족
overdue_order_dobun,납기 초과 도번 수,카운트형,2026-06-08,12.0,표본부족
overdue_order_dobun,납기 초과 도번 수,카운트형,2026-06-15,21.0,표본부족
overdue_order_dobun,납기 초과 도번 수,카운트형,2026-06-22,28.0,표본부족
overdue_order_dobun,납기 초과 도번 수,카운트형,2026-06-29,45.0,표본부족
overdue_order_dobun,납기 초과 도번 수,카운트형,2026-07-06,66.0,표본부족
overdue_order_dobun,납기 초과 도번 수,카운트형,2026-07-20,116.0,OK
overdue_order_dobun,납기 초과 도번 수,카운트형,2026-07-27,153.0,OK
overdue_order_dobun,납기 초과 도번 수,카운트형,2026-08-03,200.0,OK
overdue_order_dobun,납기 초과 도번 수,카운트형,2026-08-10,249.0,OK
overdue_order_dobun,납기 초과 도번 수,카운트형,2026-08-18,0.0,표본부족
plan_rate_injection,사출 계획 달성률,비율형,2026-05-27,0.9492273936500832,OK
plan_rate_injection,사출 계획 달성률,비율형,2026-06-03,0.9536261843238587,OK
plan_rate_injection,사출 계획 달성률,비율형,2026-06-08,0.951966951490105,OK
plan_rate_injection,사출 계획 달성률,비율형,2026-06-15,0.9461434588303379,OK
plan_rate_injection,사출 계획 달성률,비율형,2026-06-22,0.9551059497654055,OK
plan_rate_injection,사출 계획 달성률,비율형,2026-06-29,0.9480162963794835,OK
plan_rate_injection,사출 계획 달성률,비율형,2026-07-06,0.9468133543857374,OK
plan_rate_injection,사출 계획 달성률,비율형,2026-07-20,0.9522434550756137,OK
plan_rate_injection,사출 계획 달성률,비율형,2026-07-27,0.9496826722858818,OK
plan_rate_injection,사출 계획 달성률,비율형,2026-08-03,0.9538788315702516,OK
plan_rate_injection,사출 계획 달성률,비율형,2026-08-10,0.9539031560570878,OK
plan_rate_injection,사출 계획 달성률,비율형,2026-08-18,,분모 0
plan_rate_inspect,검사 계획 달성률,비율형,2026-05-27,0.941461985147255,OK
plan_rate_inspect,검사 계획 달성률,비율형,2026-06-03,0.9421019135172157,OK
plan_rate_inspect,검사 계획 달성률,비율형,2026-06-08,0.936795758053101,OK
plan_rate_inspect,검사 계획 달성률,비율형,2026-06-15,0.9348617252613114,OK
plan_rate_inspect,검사 계획 달성률,비율형,2026-06-22,0.9414065627211564,OK
plan_rate_inspect,검사 계획 달성률,비율형,2026-06-29,0.9350586533675204,OK
plan_rate_inspect,검사 계획 달성률,비율형,2026-07-06,0.9418781445452014,OK
plan_rate_inspect,검사 계획 달성률,비율형,2026-07-20,0.9337230925234572,OK
plan_rate_inspect,검사 계획 달성률,비율형,2026-07-27,0.9361947947077458,OK
plan_rate_inspect,검사 계획 달성률,비율형,2026-08-03,0.830047803182011,OK
plan_rate_inspect,검사 계획 달성률,비율형,2026-08-10,0.8264271585629513,OK
plan_rate_inspect,검사 계획 달성률,비율형,2026-08-18,,분모 0
plan_rate_laser,레이저 계획 달성률,비율형,2026-05-27,0.9248245381969841,OK
plan_rate_laser,레이저 계획 달성률,비율형,2026-06-03,0.9215429966044807,OK
plan_rate_laser,레이저 계획 달성률,비율형,2026-06-08,0.9212820845403318,OK
plan_rate_laser,레이저 계획 달성률,비율형,2026-06-15,0.9207858801524842,OK
plan_rate_laser,레이저 계획 달성률,비율형,2026-06-22,0.9197716626316991,OK
plan_rate_laser,레이저 계획 달성률,비율형,2026-06-29,0.9190027483313702,OK
plan_rate_laser,레이저 계획 달성률,비율형,2026-07-06,0.9163148499921818,OK
plan_rate_laser,레이저 계획 달성률,비율형,2026-07-20,0.9251852397113847,OK
plan_rate_laser,레이저 계획 달성률,비율형,2026-07-27,0.9178489734630012,OK
plan_rate_laser,레이저 계획 달성률,비율형,2026-08-03,0.8122563725153895,OK
plan_rate_laser,레이저 계획 달성률,비율형,2026-08-10,0.8059848917824218,OK
plan_rate_laser,레이저 계획 달성률,비율형,2026-08-18,,분모 0
plan_rate_paint,도장 계획 달성률,비율형,2026-05-27,0.8824497813748096,OK
plan_rate_paint,도장 계획 달성률,비율형,2026-06-03,0.8825846428987497,OK
plan_rate_paint,도장 계획 달성률,비율형,2026-06-08,0.8845556149927856,OK
plan_rate_paint,도장 계획 달성률,비율형,2026-06-15,0.8784058410953651,OK
plan_rate_paint,도장 계획 달성률,비율형,2026-06-22,0.8858180464328069,OK
plan_rate_paint,도장 계획 달성률,비율형,2026-06-29,0.8844205138908142,OK
plan_rate_paint,도장 계획 달성률,비율형,2026-07-06,0.8819418647845468,OK
plan_rate_paint,도장 계획 달성률,비율형,2026-07-20,0.8851132178463199,OK
plan_rate_paint,도장 계획 달성률,비율형,2026-07-27,0.8795692287548691,OK
plan_rate_paint,도장 계획 달성률,비율형,2026-08-03,0.6175492369896961,OK
plan_rate_paint,도장 계획 달성률,비율형,2026-08-10,0.6218711103364988,OK
plan_rate_paint,도장 계획 달성률,비율형,2026-08-18,,분모 0
plan_rate_print,인쇄 계획 달성률,비율형,2026-05-27,0.9594200842986775,OK
plan_rate_print,인쇄 계획 달성률,비율형,2026-06-03,0.960993490053684,OK
plan_rate_print,인쇄 계획 달성률,비율형,2026-06-08,0.9631499088482376,OK
plan_rate_print,인쇄 계획 달성률,비율형,2026-06-15,0.957757722349162,OK
plan_rate_print,인쇄 계획 달성률,비율형,2026-06-22,0.9604626160402745,OK
plan_rate_print,인쇄 계획 달성률,비율형,2026-06-29,0.9572661474288968,OK
plan_rate_print,인쇄 계획 달성률,비율형,2026-07-06,0.9530504547261703,OK
plan_rate_print,인쇄 계획 달성률,비율형,2026-07-20,0.9606699736201043,OK
plan_rate_print,인쇄 계획 달성률,비율형,2026-07-27,0.9610082446721776,OK
plan_rate_print,인쇄 계획 달성률,비율형,2026-08-03,0.8487547393328376,OK
plan_rate_print,인쇄 계획 달성률,비율형,2026-08-10,0.8487454049986844,OK
plan_rate_print,인쇄 계획 달성률,비율형,2026-08-18,,분모 0
stagnant_stock_amount,무출하 재고금액,금액형,2026-05-27,916.0,OK
stagnant_stock_amount,무출하 재고금액,금액형,2026-06-03,1399.0,OK
stagnant_stock_amount,무출하 재고금액,금액형,2026-06-08,1869.0,OK
stagnant_stock_amount,무출하 재고금액,금액형,2026-06-15,511.0,OK
stagnant_stock_amount,무출하 재고금액,금액형,2026-06-22,1399.0,OK
stagnant_stock_amount,무출하 재고금액,금액형,2026-06-29,1669.0,OK
stagnant_stock_amount,무출하 재고금액,금액형,2026-07-06,6060700.0,OK
stagnant_stock_amount,무출하 재고금액,금액형,2026-07-20,6065011.0,OK
stagnant_stock_amount,무출하 재고금액,금액형,2026-07-27,6285736.0,OK
stagnant_stock_amount,무출하 재고금액,금액형,2026-08-03,22974907.0,OK
stagnant_stock_amount,무출하 재고금액,금액형,2026-08-10,22975828.0,OK
stagnant_stock_amount,무출하 재고금액,금액형,2026-08-18,,OK
stock_as_item,A/S품목 재고금액 (일반창고),금액형,2026-05-27,404456192.0,OK
stock_as_item,A/S품목 재고금액 (일반창고),금액형,2026-06-03,395346948.0,OK
stock_as_item,A/S품목 재고금액 (일반창고),금액형,2026-06-08,400435600.0,OK
stock_as_item,A/S품목 재고금액 (일반창고),금액형,2026-06-15,409321188.0,OK
stock_as_item,A/S품목 재고금액 (일반창고),금액형,2026-06-22,407658327.0,OK
stock_as_item,A/S품목 재고금액 (일반창고),금액형,2026-06-29,409791041.6,OK
stock_as_item,A/S품목 재고금액 (일반창고),금액형,2026-07-06,408018062.20000005,OK
stock_as_item,A/S품목 재고금액 (일반창고),금액형,2026-07-20,421421843.79999995,OK
stock_as_item,A/S품목 재고금액 (일반창고),금액형,2026-07-27,413421794.4,OK
stock_as_item,A/S품목 재고금액 (일반창고),금액형,2026-08-03,410178564.5,OK
stock_as_item,A/S품목 재고금액 (일반창고),금액형,2026-08-10,421330385.29999995,OK
stock_as_item,A/S품목 재고금액 (일반창고),금액형,2026-08-18,,OK
stock_as_warehouse,A/S창고 재고금액,금액형,2026-05-27,206920521.0,OK
stock_as_warehouse,A/S창고 재고금액,금액형,2026-06-03,202257711.0,OK
stock_as_warehouse,A/S창고 재고금액,금액형,2026-06-08,204856383.0,OK
stock_as_warehouse,A/S창고 재고금액,금액형,2026-06-15,209408950.0,OK
stock_as_warehouse,A/S창고 재고금액,금액형,2026-06-22,208549567.0,OK
stock_as_warehouse,A/S창고 재고금액,금액형,2026-06-29,208113784.0,OK
stock_as_warehouse,A/S창고 재고금액,금액형,2026-07-06,207248779.0,OK
stock_as_warehouse,A/S창고 재고금액,금액형,2026-07-20,207248779.0,OK
stock_as_warehouse,A/S창고 재고금액,금액형,2026-07-27,207248779.0,OK
stock_as_warehouse,A/S창고 재고금액,금액형,2026-08-03,207248779.0,OK
stock_as_warehouse,A/S창고 재고금액,금액형,2026-08-10,207248779.0,OK
stock_as_warehouse,A/S창고 재고금액,금액형,2026-08-18,,OK
stock_handling,핸들링 재고금액,금액형,2026-05-27,620004719.0,OK
stock_handling,핸들링 재고금액,금액형,2026-06-03,606031686.0,OK
stock_handling,핸들링 재고금액,금액형,2026-06-08,613828642.0,OK
stock_handling,핸들링 재고금액,금액형,2026-06-15,627459299.0,OK
stock_handling,핸들링 재고금액,금액형,2026-06-22,624897044.0,OK
stock_handling,핸들링 재고금액,금액형,2026-06-29,625883986.0,OK
stock_handling,핸들링 재고금액,금액형,2026-07-06,623285019.9,OK
stock_handling,핸들링 재고금액,금액형,2026-07-20,637834241.2,OK
stock_handling,핸들링 재고금액,금액형,2026-07-27,629254528.4,OK
stock_handling,핸들링 재고금액,금액형,2026-08-03,625592647.5,OK
stock_handling,핸들링 재고금액,금액형,2026-08-10,638005818.1,OK
stock_handling,핸들링 재고금액,금액형,2026-08-18,,OK
stock_raw_material,원재료 재고금액,금액형,2026-05-27,215599936.0,OK
stock_raw_material,원재료 재고금액,금액형,2026-06-03,210742931.0,OK
stock_raw_material,원재료 재고금액,금액형,2026-06-08,213452980.0,OK
stock_raw_material,원재료 재고금액,금액형,2026-06-15,218192915.0,OK
